Genome	X2_cov.Mean	X4_cov.Mean	X1_cov.Mean	X3_cov.Mean	X104_cov.Mean
bin.0101	1.2337244	0.73219436	4.694064	1.4121159	1.2562016
bin.0102	56.98053	84.46885	98.18774	37.429417	21.537457
bin.0103	2.3217013	1.8701607	5.606668	1.8491111	1.6059921
bin.0104	7.1953454	2.5643995	20.759346	7.374174	6.6721992
bin.0105	16.435684	28.3362	43.544113	16.07067	11.333263
bin.0106	1.9382342	1.6512645	4.818394	1.6343906	0.99979496
bin.0107	4.3856497	2.2972467	15.322293	5.2473993	5.086134
bin.0108	36.66499	10.275763	136.16133	45.811348	41.73495
bin.0109	1.4244521	1.1268774	4.30681	1.2464228	0.9684051
bin.0110	10.1396675	8.335589	26.522472	9.76233	7.4490495
bin.0111	5.4463916	8.081516	8.385732	3.3446856	1.9961416
bin.0112	23.852156	29.13159	42.13889	16.419264	9.114842
bin.0113	0.9973988	0.25125062	4.5846243	1.2246519	0.97077
bin.0114	7.611402	15.192622	22.170652	7.718686	5.289562
bin.0115	2.1400793	1.113308	5.6662326	1.920438	2.3268328
bin.0116	15.124214	16.765324	28.44707	10.779112	8.032463
bin.0117	25.855492	35.908524	92.21281	31.951614	26.409563
bin.0118	14.063022	10.011802	57.712696	19.46055	16.821493
bin.0119	4.804215	4.161937	21.52059	7.5121956	6.9389143
bin.0120	3.476147	0.28403762	11.000773	3.9873002	5.130633
bin.0121	2.3005655	3.5921526	5.9142184	2.1110513	1.1177036
bin.0122	2.895053	2.156137	6.0538206	2.2467601	1.6447854
bin.0123	1.560162	1.107985	5.3047237	1.3480335	1.0825442
bin.0124	89.798676	147.2824	158.22855	60.283985	43.260715
bin.0125	3.1410484	3.0379374	7.133594	2.4593627	1.9679528
bin.0126	6.3259344	6.9795847	12.136247	4.595405	3.001741
bin.0127	1.4230947	1.8812274	4.4335794	1.2474576	0.8064555
bin.0128	7.825928	8.761823	14.825624	5.590224	4.2648277
bin.0129	7.375935	4.779259	17.667477	6.6604886	7.4335885
bin.0130	9.302939	10.686828	19.38255	7.3487124	5.081995
bin.0131	1.9070393	1.5433816	4.8786683	1.5749321	1.206247
bin.0132	2.3498988	2.3427136	5.0885897	1.6069952	1.3409555
bin.0133	178.73695	325.26196	423.4548	156.45598	144.30573
bin.0134	17.817013	15.429904	40.632877	15.186235	13.490057
bin.0135	1.334498	1.5354716	3.7438757	0.9282647	0.7275926
bin.0136	5.1784244	5.414644	14.249201	5.081553	3.8400116
bin.0137	6.244956	7.3302364	12.469523	4.506061	2.9613347
bin.0138	14.05286	6.636094	43.565403	15.814769	15.794403
bin.0139	6.2391567	8.232989	10.696138	4.116764	2.2075696
bin.0140	218.36844	251.42682	502.0265	185.1566	133.68079
bin.0141	7.6174946	8.589428	17.482037	6.4238453	5.0226226
bin.0142	5.3412576	6.0625863	22.15727	7.765051	5.9127
bin.0143	19.831282	28.362482	36.357216	13.618629	8.850379
bin.0144	1.5946453	1.9184434	4.7576075	1.4140458	1.2306963
bin.0145	1.8514813	1.1902541	5.045971	1.3996276	1.224185
bin.0146	8.070016	3.5227697	28.587923	9.663399	9.702812
bin.0147	5.243453	4.37458	10.970301	3.8014884	2.7487051
bin.0148	148.83067	173.30713	296.70383	112.28764	84.75747
bin.0149	5.2492633	6.192698	10.33883	3.7554512	2.585469
bin.0150	12.394829	21.265268	28.097284	10.369912	7.231741
bin.0151	2.692512	2.9453135	4.906516	1.5746832	0.96820104
bin.0152	15.784136	15.556823	30.314034	11.311206	7.366887
bin.0153	3.0787995	3.4713988	5.645998	1.9107554	1.0680043
bin.0154	11.438268	11.303345	21.065104	8.190236	6.2903476
bin.0155	2.9945471	2.96043	8.791299	3.1493762	1.9687763
bin.0156	96.372734	124.1784	207.40813	78.75164	54.020924
bin.0157	8.356604	10.179439	20.415066	7.3463855	5.713649
bin.0158	64.05218	76.255806	129.39688	50.2302	49.548264
bin.0159	2.69789	2.5524478	13.487535	4.915794	4.433348
bin.0160	7.7852364	7.8566103	14.734946	5.722497	4.085173
bin.0161	1.9972906	2.2515125	5.062625	1.6845034	0.981499
bin.0162	10.288345	12.452388	25.33284	9.373141	5.281454
bin.0163	1.6442943	1.4094957	4.4897695	1.3659418	0.9889718
bin.0164	15.1663475	14.521391	31.476942	12.005589	11.187186
bin.0165	4.9024844	6.1125054	11.341102	4.331303	2.8187187
bin.0166	70.80377	106.19586	146.96884	55.955845	30.595018
bin.0167	2.7324128	2.6676488	6.024956	2.1592677	1.5182468
bin.0168	3.6284502	3.6760323	9.345163	3.629281	3.3961256
bin.0169	5.3837533	6.213335	13.246178	5.155842	3.7702928
bin.0170	7.0101724	6.746609	25.2927	8.934177	7.5834856
bin.0171	10.665713	13.986059	17.996525	7.086843	5.3174253
bin.0172	50.27003	78.397545	93.59179	35.838696	21.079391
bin.0173	1.6162505	0.29305294	7.707581	2.6456387	2.7516506
bin.0174	1.7999727	1.8228056	4.6760516	1.4499065	0.92211235
bin.0175	1.6469544	1.3261937	4.2507267	1.2243676	0.9763585
bin.0176	119.23988	71.50965	531.49774	185.27176	168.56805
bin.0177	2.1991854	3.7419229	5.188194	1.7869984	1.0400078
bin.0178	4.826801	3.011057	9.039741	3.230517	2.7289407
bin.0179	2.1527843	3.981506	7.1825113	2.369809	1.6989163
bin.0180	5.4984283	9.183044	11.507553	4.4818926	2.5031161
bin.0181	54.74338	88.2023	99.86792	37.777714	21.388344
bin.0182	5.2999187	9.338807	11.529746	4.3063	2.5976834
bin.0183	67.15581	83.539635	121.23902	45.474346	29.326405
bin.0184	3.8650575	0.88436484	9.779751	3.1762512	2.8604279
bin.0185	9.65207	9.355704	20.054518	7.3682766	5.460813
bin.0186	0.85063535	0.4459346	5.3677063	1.673695	1.4420884
bin.0187	22.767408	19.363829	52.27747	19.07555	18.809767
bin.0188	2.3337672	1.7629399	5.5671463	1.8750085	1.5883908
bin.0189	3.658036	6.1971517	7.1278195	2.5868254	1.5286279
bin.0190	2.7489767	3.3711107	6.67829	2.244542	1.5374916
bin.0191	3.0406725	6.624618	8.308616	2.8180919	2.4815595
bin.0192	8.115541	11.55907	18.829847	7.0521097	4.765399
bin.0193	4.390094	5.2338433	10.085014	3.77699	2.7888763
bin.0194	2.1774905	1.7007426	5.4526505	1.6354944	1.3320019
bin.0195	10.081913	15.236589	21.138462	7.7636633	3.6461718
bin.0196	26.670696	17.777025	87.14583	30.84329	26.935806
bin.0197	2.0517006	1.3602457	5.040508	1.4267529	1.2420392
bin.0198	2.4811878	3.0711014	6.022292	2.1483834	1.518283
bin.0199	25.513788	33.739136	58.946217	21.889313	16.411436
bin.0200	1.2730536	1.2254521	4.1275344	1.0127455	0.7396062
bin.0201	5.807197	1.1582824	16.81921	6.2586503	7.763161
bin.0202	12.019504	10.148393	32.89156	11.575626	9.712742
bin.0203	17.453207	20.393553	32.271957	11.876451	10.248245
bin.0204	4.51931	4.1251707	9.482711	3.6766202	3.1370473
bin.0205	337.29645	158.97948	1447.77	493.02902	444.97836
bin.0206	44.92002	85.70063	119.528465	44.909756	33.15571
bin.0207	2.969018	2.8682013	6.513494	2.0321763	1.2879817
bin.0208	16.06007	24.79915	47.06813	16.659092	11.265665
bin.0209	7.272865	10.307206	12.479198	4.4734607	2.8047113
bin.0210	4.299994	3.3467834	8.474757	3.2047367	2.4323473
bin.0211	14.89292	21.374115	66.276	23.50752	20.04456
bin.0212	31.28149	39.240158	57.66566	22.05214	14.580641
bin.0213	2.3524823	1.3084997	6.5301223	2.2790632	1.8855704
bin.0214	6.057923	5.8742805	12.330676	4.474813	3.5197904
bin.0215	6.04014	6.000546	12.9563265	5.0393114	3.552773
bin.0216	2.0123744	2.3186846	4.768335	1.6191082	1.0546201
bin.0217	6.3504276	5.0421205	17.705698	6.496416	5.1085405
bin.0218	15.1463995	16.70572	28.9919	11.336788	8.329898
bin.0219	3.0541143	5.576779	7.3213296	2.6768494	1.9254712
