Genome	X4_cov.Mean	X1_cov.Mean	X2_cov.Mean	X3_cov.Mean	X104_cov.Mean
bin.0083	1.443787	3.0247285	2.7194386	1.0238674	0.83665854
bin.0084	3.1511726	4.294125	5.08437	2.29354	1.2611964
bin.0085	64.47764	83.581436	119.66776	44.90132	28.967112
bin.0086	5.8850856	6.658742	11.755543	4.430086	2.8625166
bin.0087	3.0177658	3.7443435	6.7382298	2.4801319	1.8669602
bin.0088	2.2534125	3.5403736	5.962409	2.1745138	1.4514669
bin.0089	21.76783	25.307545	40.424446	15.971611	12.399742
bin.0090	39.538666	46.572514	73.88293	28.330103	20.074526
bin.0091	4.726295	4.263152	9.224381	3.1511354	2.6518903
bin.0092	5.0724425	8.888082	11.059969	4.1089425	2.5303676
bin.0093	6.656682	8.274835	14.358212	5.43114	3.9526696
bin.0094	5.116111	9.199782	12.439109	4.5774937	2.7578628
bin.0095	2.672078	3.5578537	4.8933825	1.9943988	1.3366708
bin.0096	16.059822	16.58189	30.72645	11.698356	8.833344
bin.0097	7.1986074	10.230585	20.655916	7.3834457	5.6823497
bin.0098	2.283737	3.6145196	4.6154847	1.7064389	1.1114683
bin.0099	2.770174	3.4816067	6.008914	2.2668102	1.4891655
bin.0100	37.307285	61.026546	73.541084	27.76274	16.817026
bin.0101	2.598788	4.050197	5.954051	2.1871614	1.2297552
bin.0102	9.247821	10.620585	19.446173	7.41118	5.1271105
bin.0103	5.1661353	3.7269683	13.104075	4.923772	4.3037887
bin.0104	11.556542	9.49757	24.7391	9.47801	8.011687
bin.0105	191.11914	166.37675	483.25696	179.16548	150.57838
bin.0106	5.531824	9.121504	14.411876	5.2345676	3.3603232
bin.0107	6.847294	5.5204296	20.42107	7.5976114	6.1449423
bin.0108	89.774826	147.2152	158.34465	60.316578	43.32749
bin.0109	2.8505874	4.3338294	6.9467454	2.3865848	1.649753
bin.0110	6.269403	10.774485	17.025768	6.077844	4.494971
bin.0111	3.272557	3.7897613	6.520629	2.2706375	2.0340385
