Genome	X2_cov.Relative.Abundance....	X4_cov.Relative.Abundance....	X1_cov.Relative.Abundance....	X3_cov.Relative.Abundance....	X104_cov.Relative.Abundance....
bin.0075	0.055525918	0.06707506	0.08707024	0.08414523	0.09342359
bin.0076	0.36164427	0.52556807	0.2501677	0.27416617	0.3333134
bin.0077	0.78021	0.46440667	0.7721363	0.806426	0.97085565
bin.0078	0.05337768	0.054519128	0.03854082	0.033628453	0.024905829
bin.0079	0.1250015	0.1355445	0.09769951	0.09689557	0.07880626
bin.0080	0.20347302	0.22676165	0.19637814	0.20095745	0.13854253
bin.0081	1.1558295	1.3286942	0.80865437	0.8493019	0.6647114
bin.0082	0.14784262	0.14949647	0.10639942	0.11283117	0.09198547
bin.0083	0.08574848	0.09127342	0.07523007	0.07724975	0.069906406
bin.0084	0.0864547	0.09652714	0.0787618	0.08123428	0.074234664
bin.0085	1.0874908	1.6225816	0.78024065	0.81407684	0.5656077
bin.0086	0.045081276	0.045865435	0.036744036	0.03261551	0.032809276
bin.0087	0.14140053	0.12756097	0.19726104	0.19236246	0.19928874
bin.0088	0.8096295	0.9129916	0.5739072	0.613008	0.52614003
bin.0089	0.29955402	0.3077007	0.22164454	0.23163664	0.21130547
bin.0090	0.11517123	0.09687134	0.19661975	0.1896192	0.21474318
bin.0091	0.10918369	0.1689106	0.08987728	0.096550174	0.06617213
bin.0092	7.499986	9.975928	4.9671254	5.2565866	4.785817
bin.0093	0.18485314	0.19676319	0.1513935	0.15813085	0.1342378
bin.0094	0.22032373	0.22623049	0.15239501	0.15757701	0.12688495
bin.0095	0.03894009	0.046469323	0.032800213	0.028726535	0.032416783
bin.0096	1.2430304	1.6073062	0.8817339	0.9193084	0.680951
bin.0097	0.0737834	0.11427037	0.055975024	0.056093194	0.04115861
bin.0098	0.09395331	0.08265784	0.11931695	0.117940284	0.119149745
bin.0099	0.050582238	0.059731886	0.04634848	0.04203471	0.030936917
bin.0100	1.0225147	0.13278264	1.141447	1.1749659	1.8204108
bin.0101	0.14796224	0.26779452	0.17240421	0.16613875	0.14172488
bin.0102	0.06143487	0.05635954	0.05568795	0.05270027	0.0515245
bin.0103	0.103398114	0.11339824	0.08029817	0.080486596	0.068288855
bin.0104	0.114294566	0.021553172	0.13051116	0.13391241	0.20377484
bin.0105	0.11652776	0.105652094	0.09833035	0.10444839	0.089451164
bin.0106	0.02172289	0.008083408	0.045407	0.039667755	0.043552503
bin.0107	0.055796437	0.05309705	0.051573057	0.044488635	0.034062654
bin.0108	0.027190939	0.01719652	0.04155015	0.034093108	0.027571283
bin.0109	0.0524538	0.0662226	0.041476257	0.040252574	0.039744176
bin.0110	0.08039883	0.05401149	0.06882884	0.07026902	0.070963666
bin.0111	0.028184291	0.020831108	0.034197792	0.024923995	0.026067486
bin.0112	0.085745394	0.07515861	0.06624537	0.06664932	0.064289495
bin.0113	0.060264636	0.12192327	0.06521457	0.060640644	0.06627879
bin.0114	0.029504782	0.03565669	0.03331493	0.027791688	0.022832755
bin.0115	0.0397845	0.023418099	0.0438958	0.03905253	0.044679858
bin.0116	0.15083405	0.20830984	0.14541833	0.147857	0.13775226
bin.0117	0.08967434	0.07586856	0.07411642	0.07926703	0.08285901
bin.0118	0.09775377	0.06955853	0.0720414	0.068930425	0.07065308
bin.0119	0.053788308	0.049027756	0.047121447	0.04608756	0.039766103
bin.0120	0.60388196	0.3151281	0.7880887	0.7624779	0.8315361
